"Codice Ruolo","Descrizione Ruolo","Dipartimento di riferimento","SSD","Sett Conc Gsd","Numero Docenti"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GSPS-02/A","14/GSPS-02","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GSPS-03/A","14/GSPS-03","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GSPS-05/A","14/GSPS-05","3"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","BIOS-07/A","05/BIOS-07","3"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","BIOS-08/A","05/BIOS-08","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","BIOS-13/A","05/BIOS-13","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","GIUR-05/A","12/GIUR-05","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-03/A","06/MEDS-03","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-05/A","06/MEDS-05","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-07/B","06/MEDS-07","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-09/A","06/MEDS-09","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-10/B","06/MEDS-10","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-12/A","06/MEDS-12","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-21/A","06/MEDS-21","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-22/A","06/MEDS-22","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-23/A","06/MEDS-23","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-24/B","06/MEDS-24","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Medicina Traslazionale","MEDS-24/C","06/MEDS-24","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze del Farmaco","BIOS-06/A","05/BIOS-06","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze del Farmaco","BIOS-11/A","05/BIOS-11","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze del Farmaco","CHEM-02/A","03/CHEM-02","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze del Farmaco","CHEM-05/A","03/CHEM-05","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze del Farmaco","CHEM-07/A","03/CHEM-07","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze del Farmaco","CHEM-07/B","03/CHEM-07","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze del Farmaco","CHEM-08/A","03/CHEM-08","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze del Farmaco","ECON-03/A","13/ECON-03","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze del Farmaco","MEDS-02/A","06/MEDS-02","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","BIOS-10/A","05/BIOS-10","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","BIOS-11/A","05/BIOS-11","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","BIOS-12/A","05/BIOS-12","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","BIOS-13/A","05/BIOS-13","3"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","MEDS-01/A","06/MEDS-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","MEDS-02/A","06/MEDS-02","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","MEDS-06/A","06/MEDS-06","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","MEDS-08/C","06/MEDS-08","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","MEDS-10/C","06/MEDS-10","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","MEDS-16/A","06/MEDS-16","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","MEDS-17/A","06/MEDS-17","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","MEDS-20/A","06/MEDS-20","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","MEDS-25/A","06/MEDS-25","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze della Salute","MEDS-26/A","06/MEDS-26","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-03/A","05/BIOS-03","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-05/A","05/BIOS-05","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-06/A","05/BIOS-06","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-07/A","05/BIOS-07","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-08/A","05/BIOS-08","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-14/A","05/BIOS-14","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-15/A","05/BIOS-15","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-01/A","03/CHEM-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-01/B","03/CHEM-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-02/A","03/CHEM-02","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-03/A","03/CHEM-03","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-04/A","03/CHEM-04","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-05/A","03/CHEM-05","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","INFO-01/A","01/INFO-01","5"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","MATH-01/A","01/MATH-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","MATH-03/A","01/MATH-03","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Scienze e Innovazione Tecnologica","MATH-03/B","01/MATH-03","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi per l'Economia e l'Impresa","ECON-01/A","13/ECON-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi per l'Economia e l'Impresa","ECON-09/B","13/ECON-09","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi per l'Economia e l'Impresa","GEOG-01/B","11/GEOG-01","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-03/B","12/GIUR-03","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-04/A","12/GIUR-04","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-05/A","12/GIUR-05","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi per l'Economia e l'Impresa","STAT-04/A","13/STAT-04","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","FLMR-01/B","10/FLMR-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","FRAN-01/A","10/FRAN-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","FRAN-01/B","10/FRAN-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","GERM-01/B","10/GERM-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","GLOT-01/A","10/GLOT-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","GSPS-01/A","14/GSPS-01","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","GSPS-05/A","14/GSPS-05","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","HELL-01/B","10/HELL-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","PEMM-01/B","10/PEMM-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","PHIL-02/A","11/PHIL-02","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","PHIL-05/A","11/PHIL-05","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","SDEA-01/A","11/SDEA-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","SPAN-01/C","10/SPAN-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Studi Umanistici","STAN-01/A","10/STAN-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-03/A","05/BIOS-03","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-05/A","05/BIOS-05","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-06/A","05/BIOS-06","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-08/A","05/BIOS-08","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-14/A","05/BIOS-14","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","CEAR-02/A","08/CEAR-02","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","CHEM-01/A","03/CHEM-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","CHEM-05/A","03/CHEM-05","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","ECON-02/A","13/ECON-02","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","ECON-06/A","13/ECON-06","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","GEOG-01/B","11/GEOG-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","GIUR-06/A","12/GIUR-06","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","GSPS-05/A","14/GSPS-05","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","HIST-02/A","11/HIST-02","1"
"RU","Ricercatori Universitari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-11/A","12/GIUR-11","1"
"RU","Ricercatori Universitari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-13/A","12/GIUR-13","1"
"RU","Ricercatori Universitari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GSPS-07/B","14/GSPS-07","1"
"RU","Ricercatori Universitari","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","STAT-02/A","13/STAT-02","1"
"RU","Ricercatori Universitari","Dipartimento di Medicina Traslazionale","BIOS-07/A","05/BIOS-07","1"
"RU","Ricercatori Universitari","Dipartimento di Medicina Traslazionale","MEDS-09/A","06/MEDS-09","1"
"RU","Ricercatori Universitari","Dipartimento di Scienze del Farmaco","BIOS-11/A","05/BIOS-11","1"
"RU","Ricercatori Universitari","Dipartimento di Scienze del Farmaco","CHEM-07/B","03/CHEM-07","1"
"RU","Ricercatori Universitari","Dipartimento di Scienze del Farmaco","CHEM-08/A","03/CHEM-08","2"
"RU","Ricercatori Universitari","Dipartimento di Scienze della Salute","BIOS-11/A","05/BIOS-11","2"
"RU","Ricercatori Universitari","Dipartimento di Scienze della Salute","MEDS-03/A","06/MEDS-03","1"
"RU","Ricercatori Universitari","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-06/A","05/BIOS-06","1"
"RU","Ricercatori Universitari","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-05/A","03/CHEM-05","2"
"RU","Ricercatori Universitari","Dipartimento di Scienze e Innovazione Tecnologica","PHYS-01/A","02/PHYS-01","1"
"RU","Ricercatori Universitari","Dipartimento di Studi per l'Economia e l'Impresa","ECON-06/A","13/ECON-06","2"
"RU","Ricercatori Universitari","Dipartimento di Studi per l'Economia e l'Impresa","ECON-09/B","13/ECON-09","1"
"RU","Ricercatori Universitari","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-02/A","12/GIUR-02","1"
"RU","Ricercatori Universitari","Dipartimento di Studi per l'Economia e l'Impresa","STAT-04/A","13/STAT-04","1"
"RU","Ricercatori Universitari","Dipartimento di Studi Umanistici","ARCH-01/D","10/ARCH-01","1"
"RU","Ricercatori Universitari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-01/C","05/BIOS-01","1"
