"Codice Ruolo","Descrizione Ruolo","Dipartimento di riferimento","SSD","Sett Conc Gsd","Numero Docenti"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-01/A","06/MEDS-01","2"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-02/A","06/MEDS-02","3"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-02/B","06/MEDS-02","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-06/A","06/MEDS-06","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-08/C","06/MEDS-08","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-13/A","06/MEDS-13","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-15/B","06/MEDS-15","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-16/A","06/MEDS-16","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-17/A","06/MEDS-17","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-18/A","06/MEDS-18","2"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-19/A","06/MEDS-19","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-20/A","06/MEDS-20","2"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-25/A","06/MEDS-25","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","MEDS-26/D","06/MEDS-26","1"
"PA","Professori Associati","Dipartimento di Scienze della Salute","PHYS-06/A","02/PHYS-06","1"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-01/A","05/BIOS-01","2"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-02/A","05/BIOS-02","1"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-04/A","05/BIOS-04","2"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-05/A","05/BIOS-05","1"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-07/A","05/BIOS-07","1"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-12/A","05/BIOS-12","1"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-15/A","05/BIOS-15","1"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-01/A","03/CHEM-01","1"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-02/A","03/CHEM-02","2"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-03/A","03/CHEM-03","3"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-04/A","03/CHEM-04","1"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","INFO-01/A","01/INFO-01","10"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","MATH-01/B","01/MATH-01","1"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","MATH-05/A","01/MATH-05","1"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","PHYS-01/A","02/PHYS-01","2"
"PA","Professori Associati","Dipartimento di Scienze e Innovazione Tecnologica","PHYS-02/A","02/PHYS-02","3"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","ECON-01/A","13/ECON-01","2"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","ECON-03/A","13/ECON-03","1"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","ECON-06/A","13/ECON-06","5"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","ECON-07/A","13/ECON-07","4"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","ECON-08/A","13/ECON-08","2"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","ECON-09/B","13/ECON-09","1"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","GEOG-01/B","11/GEOG-01","2"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-01/A","12/GIUR-01","2"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-02/A","12/GIUR-02","2"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-08/A","12/GIUR-08","1"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-11/A","12/GIUR-11","1"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-12/A","12/GIUR-12","1"
"PA","Professori Associati","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-14/A","12/GIUR-14","1"
