"Anno","DescrizIone Corso di studio","Tipologia","Codice Classe","Descrizione Classe","Sede","Durata","Dipartimento di riferimento","Erogazione","Accesso","Lingua","URL"
"","Amministrazione, professione e persone","Laurea magistrale","LM-77","Scienze economico-aziendali","NOVARA","2","DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA","Convenzionale","Nessuna Programmazione","italiano, inglese","https://disei.uniupo.it/it/didattica/corsi-di-laurea/amministrazione-professione-persone-app-2425"
"","Biologia","Laurea magistrale","LM-6","Biologia","ALESSANDRIA","2","DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA","Convenzionale","Nessuna programmazione","italiano","https://disit.uniupo.it/it/didattica/corsi-di-laurea/biologia-2024-2025"
"","Biologia","Laurea magistrale","LM-6","Biologia","VERCELLI","2","DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA","Convenzionale","Nessuna programmazione","italiano","https://disit.uniupo.it/it/didattica/corsi-di-laurea/biologia-2024-2025"
"","Biotecnologie","Laurea","L-2","Biotecnologie","NOVARA","3","DIPARTIMENTO DI SCIENZE DELLA SALUTE","Convenzionale","Nessuna Programmazione","italiano","https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-biotecnologie"
"","Biotecnologie farmaceutiche","Laurea magistrale","LM-9","Biotecnologie mediche, veterinarie e farmaceutiche","NOVARA","2","DIPARTIMENTO DI SCIENZE DEL FARMACO","Convenzionale","Nessuna Programmazione","italiano, inglese","https://dsf.uniupo.it/it/didattica/corsi-di-laurea"
"","Chimica","Laurea","L-27","Scienze e tecnologie chimiche","ALESSANDRIA","3","DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA","Convenzionale","Nessuna programmazione","italiano","https://disit.uniupo.it/it/didattica/corsi-di-laurea/chimica-2024-2025"
"","Chimica e tecnologia farmaceutiche","Laurea magistrale a ciclo unico 5","LM-13.","Farmacia e farmacia industriale","NOVARA","5","DIPARTIMENTO DI SCIENZE DEL FARMACO","Convenzionale","Programmazione Locale","italiano, inglese","https://dsf.uniupo.it/it/didattica/corsi-di-laurea"
"","Chimica verde","Laurea","L-27","Scienze e tecnologie chimiche","VERCELLI","3","DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA","Convenzionale","Nessuna Programmazione","italiano","https://disste.uniupo.it/it/didattica/corsi-di-laurea/chimica-verde-aa2425"
"","Disaster and Health Crisis Management","Laurea magistrale","LM-81R","Scienze per la cooperazione allo sviluppo","","2","DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA","modalità mista","Nessuna Programmazione","inglese","https://disste.uniupo.it/en/university-studies/course/disaster-health-crisis-management-ay-2425"
"","Economia aziendale","Laurea","L-18","Scienze dell'economia e della gestione aziendale","NOVARA","3","DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA","Convenzionale","Nessuna Programmazione","italiano","https://disei.uniupo.it/it/didattica/corsi-di-laurea/economia-aziendale-clea-2425"
