Ciclo;Codice Corso;Descrizione corso;Curricula;Struttura di riferimento;URL
40;16;CHEMISTRY & BIOLOGY;comune;Dip. Scienze e Innovazione Tecnologica;https://ita.chemistryandbiology.uniupo.it/
40;22;DRUG INNOVATION;comune;Dip. Scienze del Farmaco;https://ita.druginnovation.uniupo.it/
40;23;ECOLOGIA DEI SISTEMI CULTURALI E ISTITUZIONALI;Democrazia sostenibile e solidale: Diritti, doveri e istituzioni;"Dip. Giurisprudenza e Scienze Politiche, Economiche e Sociali	e Dip. Studi umanistici";https://ecsist.uniupo.it/
40;23;ECOLOGIA DEI SISTEMI CULTURALI E ISTITUZIONALI;Scienze storiche;"Dip. Giurisprudenza e Scienze Politiche, Economiche e Sociali	e Dip. Studi umanistici";https://ecsist.uniupo.it/
40;23;ECOLOGIA DEI SISTEMI CULTURALI E ISTITUZIONALI;Tradizioni linguistico-letterarie;"Dip. Giurisprudenza e Scienze Politiche, Economiche e Sociali	e Dip. Studi umanistici";https://ecsist.uniupo.it/
40;25;FOOD, HEALTH AND LONGEVITY STUDIES;comune;Dip. Medicina Traslazionale e Dip. Scienze della Salute;https://phdfoodhealth.uniupo.it/
40;20;GLOBAL HEALTH, HUMANITARIAN AID AND DISASTER MEDICINE;comune;Crimedim - Dip. Medicina Traslazionale;https://crimedim.uniupo.it/new-phd
40;18;SCIENZE E BIOTECNOLOGIE MEDICHE;comune;Dip. Medicina Traslazionale e Dip. Scienze della Salute;https://phdbiomed.uniupo.it/
