Anno;DescrizIone Corso di studio;Tipologia;Codice Classe;Descrizione Classe;Sede;Durata;Dipartimento di riferimento;Erogazione;Accesso;Lingua;URL
2023-24;Amministrazione, professione e persone;Laurea magistrale;LM-77;Scienze economico-aziendali;NOVARA;2;DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA;Convenzionale;Nessuna Programmazione;italiano, inglese;https://disei.uniupo.it/it/didattica/corsi-di-laurea/amministrazione-professione-persone-app-2324
2023-24;Biologia;Laurea magistrale;LM-6;Biologia;ALESSANDRIA;2;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;Convenzionale;Nessuna programmazione;italiano;https://disit.uniupo.it/it/didattica/corsi-di-laurea/biologia-2023-2024
2023-24;Biotecnologie;Laurea;L-2;Biotecnologie;NOVARA;3;DIPARTIMENTO DI SCIENZE DELLA SALUTE;Convenzionale;Nessuna Programmazione;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-biotecnologie
2023-24;Biotecnologie farmaceutiche;Laurea magistrale;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;NOVARA;2;DIPARTIMENTO DI SCIENZE DEL FARMACO;Convenzionale;Nessuna Programmazione;italiano, inglese;https://dsf.uniupo.it/it/didattica/corsi-di-laurea/biotecnologie-farmaceutiche
2023-24;Chimica;Laurea;L-27;Scienze e tecnologie chimiche;ALESSANDRIA;3;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;Convenzionale;Nessuna programmazione;italiano;https://disit.uniupo.it/it/didattica/corsi-di-laurea/chimica-2023-2024
2023-24;Chimica e tecnologia farmaceutiche;Laurea magistrale a ciclo unico 5;LM-13.;Farmacia e farmacia industriale;NOVARA;5;DIPARTIMENTO DI SCIENZE DEL FARMACO;Convenzionale;Programmazione Locale;italiano, inglese;https://dsf.uniupo.it/it/didattica/corsi-di-laurea/chimica-tecnologia-farmaceutiche
2023-24;Chimica verde;Laurea;L-27;Scienze e tecnologie chimiche;VERCELLI;3;DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA;Convenzionale;Nessuna Programmazione;italiano;https://disste.uniupo.it/it/didattica/corsi-di-laurea/chimica-verde-aa2324
2023-24;Economia aziendale;Laurea;L-18;Scienze dell'economia e della gestione aziendale;NOVARA;3;DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA;Convenzionale;Nessuna Programmazione;italiano;https://disei.uniupo.it/it/didattica/corsi-di-laurea/economia-aziendale-clea-2324
2023-24;Economia e Management;Laurea magistrale;LM-56;Scienze dell'economia;ALESSANDRIA;2;DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI;Convenzionale;Nessuna Programmazione;italiano;https://digspes.uniupo.it/it/didattica/economia-management-2324
2023-24;Educazione professionale (abilitante alla professione sanitaria di Educatore professionale);Laurea;L/SNT2;Professioni sanitarie della riabilitazione;ALESSANDRIA;3;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;Convenzionale;Nessuna Programmazione;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-educazione-professionale
