"Anno di presentazione del progetto","Stato del progetto","Tipologia ente","Titolo del progetto","Ruolo nel progetto","Tipologia bando"
"2024","Approvato","Europei","Hybrid metrology for sustainable and low-carbon footprint battery materials","Associated partner","Ricerca"
"2024","Approvato","Nazionali","Modelli innovativi di gestione e patrimonializzazione degli ecosistemi del riso in Italia","Coordinatore","Ricerca"
"2024","Approvato","Regionali","LIBERtà di muoversi: VIE Culturali e letterarie transfrontaliere accessibili e Inclusive","Coordinatore","Ricerca; Terza Missione"
"2025","Approvato","Europei","Translational METabolomics for NEurodegenerative Diseases dIAgnosis and prognosis","Coordinatore","Ricerca"
"2024","Approvato","Regionali","Sviluppo di kit per diagnostica del diabete e delle malattie cardiovascolari in animali domestici","Partecipante","Ricerca"
"2025","Approvato","Regionali","Integrating Transborder Collaboration for Combating High-Resistance Bacteria with AI-Enhanced Modified Phages","Coordinatore",""
"2024","Approvato","Regionali","Piattaforma Tecnologica Italo Ticinese per la Ricerca e Sviluppo di Anticorpi","Partner","Ricerca; Terza Missione"
"2024","Approvato","Nazionali","FVIII function during vascular development and angiogenesis","Coordinatore","Ricerca"
"2025","Approvato","Nazionali","Unraveling the molecular mechanisms of early-onset breast cancer","Coordinatore",""
"2024","Approvato","Regionali","Nuovi vettori di boro per la terapia a cattura neutronica","Coordinatore","Ricerca; Terza Missione"
"2024","Approvato","Regionali","NOVARA CITTA’ IN ERBA","Partner","Ricerca"
"2025","Approvato","Nazionali","Combining Inhibition and Degradation Strategies for the Selective Targeting of ALDH1A3 in Cancer Stem Cells","Coordinatore","Ricerca"
"2025","Approvato","Nazionali","Phytoextracts as agents against western diet harmful effects: looking for an elderly-friendly strategy.","Coordinatore",""
"2025","Approvato","Nazionali","Developing chromosome transplant technologies towards universal cell therapies","Coordinatore","Ricerca"
"2024","Approvato","Extra-Europei","Functional and transcriptomic approaches on endothelial cell behaviour in response to coagulation factors","Coordinatore","Ricerca"
"2024","Approvato","Nazionali","Colon cancer and Obesity: understanding the role of Finegoldia magna through ex-vivo and in-vivo approaches.","Coordinatore",""
"2025","Approvato","Extra-Europei","Supramolecular Control of Radical Reactivity: From Inhibition to Catalysis","Coordinatore","Ricerca"
"2024","Approvato","Europei","Law Winter School on the European Public Prosecutor's Office investigation into fraud affecting public revenue","Coordinatore","Didattica"
"2024","Approvato","Regionali","Modularity to control","Partecipante","Ricerca"
"2025","Approvato","Nazionali","Targeting the Hepatic BMP-SMAD Pathway in Leptin Receptor Deficiency (LEPRD): A New Strategy for Treating Severe PediatricObesity","Coordinatore",""
"2025","Approvato","Europei","Building European Learning Opportunities and Networks for Growth in VET","Partecipante","Didattica"
