"Anno di pubblicazione","ID prodotto","Handle","Titolo","rivista: denominazione","DOI","scopus: funding funders"
"2025","191524","11579/195963","What workers and robots do: An activity-based analysis of the impact of robotization on changes in local employment","RESEARCH POLICY","10.1016/j.respol.2024.105135","501100009629 - Fondazione Cassa Di Risparmio Di Trento E Rovereto; 501100009629 - Fondazione Cassa Di Risparmio Di Trento E Rovereto;"
"2025","192864","11579/196602","Entrepreneurial Firms and Bank Financing: Do Business Angels Play a Role?","EUROPEAN FINANCIAL MANAGEMENT","10.1111/eufm.12537","501100005699 - Università degli Studi del Piemonte Orientale; 501100006375 - Università Bocconi;"
"2025","192924","11579/196662","Jean-Jacques Rousseau: lo Stato, la guerra e la politica internazionale","","",""
"2025","192965","11579/196702","Diagnostic Performance of Kaiser score in MRI BI-RADS 3 Lesions: A Promising tool to reduce unnecessary biopsies","EUROPEAN JOURNAL OF RADIOLOGY","10.1016/j.ejrad.2024.111872",""
"2025","193023","11579/196744","Natterin-like and legumain insect gut proteins promote the multiplication of a vector-borne bacterial plant pathogen","MICROBIOLOGICAL RESEARCH","10.1016/j.micres.2024.127984","501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 100007364 - Fondazione CRT; 100007364 - Fondazione CRT;"
"2025","193453","11579/196922","Murals for sustainability: walking among Turin’s streets","","",""
"2025","193801","11579/197102","Factors influencing the acceptability of automated insulin delivery systems in youths with type 1 diabetes and their parents","DIABETES RESEARCH AND CLINICAL PRACTICE","10.1016/j.diabres.2024.111962",""
"2025","194744","11579/197842","Evaluation of structurally related acyclic ligands OBETA, EHDTA, and EGTA for stable Mn2+ complex formation","DALTON TRANSACTIONS","10.1039/d4dt02761b","501100003825 - Magyar Tudományos Akadémia; 501100010801 - Xunta de Galicia; 501100010801 - Xunta de Galicia; 501100011019 - Nemzeti Kutatási Fejlesztési és Innovációs Hivatal; 501100011019 - Nemzeti Kutatási Fejlesztési és Innovációs Hivatal; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 501100004837 - Ministerio de Ciencia e Innovación; 501100004837 - Ministerio de Ciencia e Innovación;"
"2025","194849","11579/197929","On the traceability of truffles by means of the lanthanides distribution","JOURNAL OF FOOD COMPOSITION AND ANALYSIS","10.1016/j.jfca.2024.107068",""
"2025","194852","11579/197931","Taking care of women living with female genital mutilation or cutting: Characteristics of the pool of users of two healthcare facilities in Turin, Northern Italy","FORENSIC SCIENCE INTERNATIONAL","10.1016/j.forsciint.2024.112344","100004423 - World Health Organization; 501100020307 - Azienda Ospedaliero-Universitaria Città della Salute e della Scienza di Torino; 501100020307 - Azienda Ospedaliero-Universitaria Città della Salute e della Scienza di Torino;"
"2025","195665","11579/198622","Croplands proximity is associated with amyotrophic lateral sclerosis incidence and age at onset","EUROPEAN JOURNAL OF NEUROLOGY","10.1111/ene.16464","100014941 - Cytokinetics; 100005614 - Biogen; 100013278 - EU Joint Programme – Neurodegenerative Disease Research; 501100003196 - Ministero della Salute; 501100007601 - Horizon 2020; 501100007601 - Horizon 2020; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 100011102 - Seventh Framework Programme; 100011102 - Seventh Framework Programme;"
"2025","198704","11579/200522","Queer in Italia 2","","",""
"2025","198730","11579/200543","Biomimetic synthesis of rare cannabigerol-type cannabinoids and evaluation of their cytotoxic effect on human glioblastoma cell lines","FITOTERAPIA","10.1016/j.fitote.2024.106354",""
"2025","199604","11579/200662","Reliability and validity of the hand-held dynamometer “NOD”: a new instrument for assessment of isometric grip strength","BMC MUSCULOSKELETAL DISORDERS","10.1186/s12891-024-08222-2",""
"2025","200260","11579/200787","Remote sensing reveals scale‐specific effects of forage crop mowing and landscape structure on a declining farmland bird","JOURNAL OF APPLIED ECOLOGY","10.1111/1365-2664.14865","501100000780 - European Commission; 501100000780 - European Commission;"
"2025","200648","11579/200864","Clinical Characteristics of Anti-synthetase Syndrome: Analysis From the Classification Criteria for Anti-Synthetase Syndrome Project","ARTHRITIS & RHEUMATOLOGY","10.1002/art.43038","100000002 - National Institutes of Health; 100000066 - National Institute of Environmental Health Sciences; 501100008741 - European League Against Rheumatism; 501100008741 - European League Against Rheumatism;"
"2025","200691","11579/200882","Early noninvasive ventilation in general wards for acute respiratory failure: an international, multicentre, open-label, randomised trial","BRITISH JOURNAL OF ANAESTHESIA","10.1016/j.bja.2024.11.023",""
"2025","200947","11579/201023","Clinical Characteristics and Outcomes in Patients with Chronic HBV Infection and Hospitalized for COVID-19 Pneumonia: A Retrospective Cohort Study","VIRUSES","10.3390/v17010040",""
"2025","200952","11579/201042","Impact of Age and Sex on Viral Load in Hepatitis C Virus Infection","VIRUSES","10.3390/v17010021",""
"2025","201565","11579/201263","Sleep quality among Italian university students: the UnSleep multicenter study","ANNALI DI IGIENE MEDICINA PREVENTIVA E DI COMUNITÀ","10.7416/ai.2024.2655",""
"2025","201945","11579/201462","Deep immunophenotyping of circulating immune cells in major depressive disorder patients reveals immune correlates of clinical course and treatment response","BRAIN, BEHAVIOR, & IMMUNITY. HEALTH","10.1016/j.bbih.2024.100942","501100005699 - Università degli Studi del Piemonte Orientale; 501100007601 - Horizon 2020; 501100002803 - Fondazione Cariplo; 100010661 - Horizon 2020 Framework Programme; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca;"
"2025","201952","11579/201465","Sensitive and accurate determination of 32 PFAS in human serum using online SPE-UHPLC-HRMS","JOURNAL OF HAZARDOUS MATERIALS","10.1016/j.jhazmat.2024.136780","501100007601 - Horizon 2020; 100010661 - Horizon 2020 Framework Programme; 100010661 - Horizon 2020 Framework Programme;"
"2025","202524","11579/201742","Entrepreneurs’ human capital and the performance of angel-backed companies","VENTURE CAPITAL","10.1080/13691066.2024.2444952",""
"2025","202544","11579/201762","Toward Resilient Maternal, Neonatal and Child Health Care: A Qualitative Study Involving Afghan Refugee Women in Pakistan","HEALTH SERVICES INSIGHTS","10.1177/11786329241310733","501100005699 - Università degli Studi del Piemonte Orientale;"
"2025","202545","11579/201763","The 2023 floods in the Emilia-Romagna Region, Italy: A retrospective qualitative investigation into response strategies and criticalities","INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION","10.1016/j.ijdrr.2024.105089",""
"2025","202565","11579/201782","Earthworms multi-biomarker approach for ecotoxicological assessment of soils irrigated with reused treated wastewater","APPLIED SOIL ECOLOGY","10.1016/j.apsoil.2025.105866","501100000780 - European Commission; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca;"
"2025","202584","11579/201802","La Guerra d’indipendenza ucraina. Come il conflitto ha cambiato il Paese (2014-2024)","","",""
"2025","202604","11579/201822","Una questione di visibilità. Come la guerra ha cambiato il movimento per i diritti LGBTQIA+ nell’Ucraina post-sovietica","","",""
"2025","202664","11579/201882","Oral Health Care: A Systematic Review of Clinical Practice Guidelines","NURSING & HEALTH SCIENCES","10.1111/nhs.70027",""
"2025","202844","11579/201982","Large clones of Clonal Hematopoiesis affect outcome in Mantle Cell Lymphoma: Results from The FIL MCL0208 Clinical Trial","BLOOD ADVANCES","10.1182/bloodadvances.2024014948","501100006692 - Università degli Studi di Torino; 100032745 - Gilead Sciences Italia; 501100002704 - Fundación Científica Asociación Española Contra el Cáncer; 100005189 - Leukemia and Lymphoma Society; 501100000289 - Cancer Research UK; 501100005010 - Associazione Italiana per la Ricerca sul Cancro;"
"2025","202924","11579/202002","A Symbolic AI Approach to Medical Training","JOURNAL OF MEDICAL SYSTEMS","10.1007/s10916-024-02139-y","501100005699 - Università degli Studi del Piemonte Orientale; 100007388 - Compagnia di San Paolo;"
"2025","203544","11579/202102","Pharmacogenetics of opioid medications for relief of labor pain and post-cesarean pain: a systematic review and meta-analysis","EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY","10.1007/s00228-024-03798-z",""
"2025","203824","11579/218004","Mild acute biliary pancreatitis: still a surgical disease. A post-hoc analysis of the MANCTRA-1 international study","EUROPEAN JOURNAL OF TRAUMA AND EMERGENCY SURGERY","10.1007/s00068-024-02748-9",""
"2025","204088","11579/202264","ctDNA: A Gateway for Personalized Risk Stratification in Surgically Resectable Hepatocellular Cancer","CLINICAL CANCER RESEARCH","10.1158/1078-0432.CCR-24-3805","501100009253 - European Association for the Study of the Liver; 100004330 - GlaxoSmithKline; 100016338 - Imperial Experimental Cancer Medicine Centre; 100014461 - NIHR Biomedical Research Centre, Royal Marsden NHS Foundation Trust/Institute of Cancer Research; 100004325 - AstraZeneca; 501100000289 - Cancer Research UK; 501100007075 - European Society for Medical Oncology;"
"2025","204096","11579/202271","Prior antibiotics, proton pump inhibitors, and probiotics in patients with extensive stage small cell lung cancer treated with immune checkpoint blockade: A post-hoc analysis of the phase I/III IMpower 133 trial","INTERNATIONAL JOURNAL OF CANCER","10.1002/ijc.35249",""
"2025","204545","11579/202362","Identification of Cannabidiolic and Cannabigerolic Acids as MTDL AChE, BuChE, and BACE‐1 Inhibitors Against Alzheimer's Disease by In Silico, In Vitro, and In Vivo Studies","PHYTOTHERAPY RESEARCH","10.1002/ptr.8369","501100004710 - Fondazione Umberto Veronesi; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 100019887 - GW Research; 100019887 - GW Research;"
"2025","204565","11579/202382","Impairment of the T cell memory response in chronic lymphocytic leukemia patients after SARS-CoV-2 vaccination","VACCINE","10.1016/j.vaccine.2025.126723","501100005699 - Università degli Studi del Piemonte Orientale; 501100002803 - Fondazione Cariplo; 501100002803 - Fondazione Cariplo;"
"2025","204584","11579/202402","Venetoclax therapy in chronic lymphocytic leukaemia patients relapsed after allogeneic haematopoietic stem cell transplantation","BRITISH JOURNAL OF HAEMATOLOGY","10.1111/bjh.19976","100004325 - AstraZeneca; 501100005389 - Università degli Studi dell'Insubria;"
"2025","204585","11579/202403","Molecular clustering on ctDNA improves the prognostic stratification of DLBCL patients compared to ctDNA levels","BLOOD ADVANCES","10.1182/bloodadvances.2024014136","501100005699 - Università degli Studi del Piemonte Orientale; 501100017035 - Fondation ISREC; 501100023947 - Ente Ospedaliero Cantonale; 501100008392 - Fondation Nelia et Amadeo Barletta; 100017336 - Dipartimenti di Eccellenza; 501100013850 - Helmut Horten Stiftung; 501100013362 - Swiss Cancer Research Foundation; 100005189 - Leukemia and Lymphoma Society; 100005189 - Leukemia and Lymphoma Society; 501100001711 - Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung; 501100001711 - Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung; 501100000781 - European Research Council; 501100000781 - European Research Council;"
"2025","205424","11579/202622","Spontaneous Rupture of the Utero-Ovarian Vessels in a 
Non-Pregnant Woman 15 Years Following Endometriosis 
Eradication","WOMEN","10.3390/women5010001",""
"2025","205664","11579/202702","Development of miniaturised sensors for methane detection at trace levels for environmental monitoring applications","MEASUREMENT. SENSORS","10.1016/j.measen.2024.101766","501100021856 - Ministero dell'Università e della Ricerca; 501100021856 - Ministero dell'Università e della Ricerca;"
"2025","206657","11579/203004","Linking tumor immune infiltration to enhanced longevity in recurrence-free breast cancer","ESMO OPEN","10.1016/j.esmoop.2024.104109","501100000780 - European Commission; 501100003030 - Agència de Gestió d'Ajuts Universitaris i de Recerca; 501100003030 - Agència de Gestió d'Ajuts Universitaris i de Recerca; 100001006 - Breast Cancer Research Foundation; 100001006 - Breast Cancer Research Foundation; 100010661 - Horizon 2020 Framework Programme; 100010661 - Horizon 2020 Framework Programme; 501100004587 - Instituto de Salud Carlos III; 501100004587 - Instituto de Salud Carlos III; 100000054 - National Cancer Institute; 100000054 - National Cancer Institute; 501100002704 - Fundación Científica Asociación Española Contra el Cáncer; 501100002704 - Fundación Científica Asociación Española Contra el Cáncer;"
"2025","207134","11579/203142","Efficacy and safety of antibody-drug conjugates in pretreated HER2-low metastatic breast cancer: A systematic review and network meta-analysis","CANCER TREATMENT REVIEWS","10.1016/j.ctrv.2024.102865","501100004587 - Instituto de Salud Carlos III; 501100004587 - Instituto de Salud Carlos III;"
"2025","207862","11579/203342","Costituzionalismo numerico o costituzionalismo simbolico? BES & SDGs nell’ordinamento italiano","FEDERALISMI.IT","",""
"2025","208485","11579/203422","Predictive factors of health related quality of life in children and adolescents with celiac disease: An Italian multicenter study on behalf of the SIGENP","DIGESTIVE AND LIVER DISEASE","",""
"2025","208504","11579/203403","Las piezas mancomunadas como subgénero del teatro cortesano: el ejemplo del corpus moretiano","EHUMANISTA","",""
"2025","208684","11579/203442","Congenital Bullous Syphilis: A Case Report from Italy and a Comprehensive Literature Review","MEDICINA","10.3390/medicina61010158",""
"2025","208864","11579/203502","Etonogestrel Subdermal Implant in Adolescents: Everything We Should Know to Conduct Proper Counseling, a Narrative Review","CLINICS AND PRACTICE","10.3390/clinpract15020027",""
"2025","208885","11579/203522","Post-COVID-19 sequelae are associated with sustained SARS-CoV-2-specific CD4+ immune responses","INTERNATIONAL IMMUNOPHARMACOLOGY","10.1016/j.intimp.2025.114103","501100005699 - Università degli Studi del Piemonte Orientale; 501100002803 - Fondazione Cariplo; 501100002803 - Fondazione Cariplo;"
"2025","208944","11579/203562","Nanosized MCM-41 silica from rice husk and its application for the removal of organic dyes from water","RSC ADVANCES","10.1039/d4ra07152b","501100005699 - Università degli Studi del Piemonte Orientale; 100031969 - Solvay Specialty Polymers;"
"2025","208984","11579/203622","Vulnerability to disinformation in older age","PHENOMENOLOGY AND MIND","10.17454/pam-2802",""
"2025","209406","11579/203742","Non-Animal Hyaluronic Acid and Probiotics Enhance Skin Health via the Gut–Skin Axis: An In Vitro Study on Bioavailability and Cellular Impact","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","10.3390/ijms26030897","501100021856 - Ministero dell'Università e della Ricerca; 501100021856 - Ministero dell'Università e della Ricerca;"
"2025","209484","11579/203802","Pb2+ and Mn2+ Codoped Cs2CdCl4 Nanocrystals with Tunable Emission","ACS APPLIED NANO MATERIALS","10.1021/acsanm.4c06072","501100021856 - Ministero dell'Università e della Ricerca; 501100001809 - National Natural Science Foundation of China; 501100001809 - National Natural Science Foundation of China; 100007388 - Compagnia di San Paolo; 100007388 - Compagnia di San Paolo; 501100003819 - Natural Science Foundation of Hubei Province; 501100003819 - Natural Science Foundation of Hubei Province; 501100000780 - European Commission; 501100000780 - European Commission;"
"2025","209764","11579/203862","Efficacy of myo-inositol and zinc on insulin resistance in a paediatric population with obesity","DIABETES, OBESITY AND METABOLISM","10.1111/dom.16185","501100002803 - Fondazione Cariplo;"
"2025","209984","11579/203902","Spectral convergence analysis for the Reissner-Mindlin system in any dimension","JOURNAL OF DIFFERENTIAL EQUATIONS","10.1016/j.jde.2024.12.025","100012740 - Gruppo Nazionale per l'Analisi Matematica, la Probabilità e le loro Applicazioni; 501100000780 - European Commission; 501100000780 - European Commission; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 100009112 - Istituto Nazionale di Alta Matematica ""Francesco Severi""; 100009112 - Istituto Nazionale di Alta Matematica ""Francesco Severi"";"
"2025","210284","11579/203962","EmoAtlas: An emotional network analyzer of texts that merges psychological lexicons, artificial intelligence, and network science","BEHAVIOR RESEARCH METHODS","10.3758/s13428-024-02553-7","501100004004 - Università degli Studi di Trento;"
