Anno;Codice inquadramento;Descrizione inquadramento;SEDE_CAP;Affrenza organizzativa;Afferenza organizzativa Polo
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Rettorato - Staff del Rettore e Comunicazione - Ufficio Comunicazione e Attività Istituzionali;Amministrazione Centrale
2023;C 3;Pers. Tecnico Amm.vo - Pos.Econ. C3;15121;Direzione Generale - Divisione DPNRR - Coordinamento Centro di Servizi Polo AL;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO;Polo di Novara
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;15121;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Laboratori Polo di Alessandria;Polo di Alessandria
2023;B 5;Pers. Tecnico Amm.vo - Pos.Econ. B5;13100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Vercelli;Polo di Vercelli
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO;Polo di Novara
2023;EP1;Pers. Tecnico Amm.vo - Pos.Econ. EP1;13100;Direzione Generale - Divisione DPNRR - Coordinamento Centro di Servizi Polo di Vercelli;Polo di Vercelli
2023;C 7;Pers. Tecnico Amm.vo - Pos.Econ. C7;15121;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Alessandria;Polo di Alessandria
2023;EP1;Pers. Tecnico Amm.vo - Pos.Econ. EP1;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Gestione Giuridica del Personale;Amministrazione Centrale
2023;B 3;Pers. Tecnico Amm.vo - Pos.Econ. B3;28100;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo NO;Polo di Novara
2023;B 5;Pers. Tecnico Amm.vo - Pos.Econ. B5;13100;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo VC;Polo di Vercelli
2023;C 6;Pers. Tecnico Amm.vo - Pos.Econ. C6;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Gestione Giuridica del Personale - Ufficio Personale Docente e Ricercatore;Amministrazione Centrale
2023;C 3;Pers. Tecnico Amm.vo - Pos.Econ. C3;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo. - Ufficio Trattamenti Economici e Pensioni;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Didattica - Staff Sviluppo e Coord. Carriere e Servizi Student;Amministrazione Centrale
2023;D 3;Pers. Tecnico Amm.vo - Pos.Econ. D3;15121;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Laboratori Polo di Alessandria;Polo di Alessandria
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;28100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Novara;Polo di Novara
2023;C 6;Pers. Tecnico Amm.vo - Pos.Econ. C6;13100;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo VC;Polo di Vercelli
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Rettorato - Staff del Rettore e Comunicazione - Ufficio Eventi, Orientamento e Public Engagement;Amministrazione Centrale
2023;C 1;Pers. Tecnico Amm.vo Pos.Econ. C1 (tempo det. INPDAP);13100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Vercelli;Polo di Vercelli
2023;0;Tecnologo a tempo determinato art. 24-bis Legge 240/2010;28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO;Polo di Novara
2023;D 7;Pers. Tecnico Amm.vo - Pos.Econ. D7;13100;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Amministrazione e Appalti - Ufficio Patrimonio e Contratti;Amministrazione Centrale
2023;C 6;Pers. Tecnico Amm.vo - Pos.Econ. C6;13100;Direzione Generale - Divisione DPNRR - Coordinamento Centro di Servizi Polo di Vercelli;Polo di Vercelli
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;15121;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Alessandria;Polo di Alessandria
2023;C 3;Pers. Tecnico Amm.vo - Pos.Econ. C3;15121;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Alessandria;Polo di Alessandria
2023;0;Tecnologo a tempo determinato art. 24-bis Legge 240/2010;28100;DiMeT;Polo di Novara
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;15121;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Progettazione e Gestione Ricerca Polo AL;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Amministrazione e Appalti - Ufficio Appalti;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;15121;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Laboratori Polo di Alessandria;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo VC - Ufficio Laboratori Polo di Vercelli;Polo di Vercelli
2023;EP1;Pers. Tecnico Amm.vo - Pos.Econ. EP1;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Tesoreria e Flussi di Cassa;Amministrazione Centrale
2023;C 5;Pers. Tecnico Amm.vo - Pos.Econ. C5;13100;Direzione Generale - Divisione Didattica - Staff Sviluppo e Coord. Carriere e Servizi Student;Amministrazione Centrale
2023;D 3;Pers. Tecnico Amm.vo - Pos.Econ. D3;15121;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Laboratori Polo di Alessandria;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;15121;Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo AL;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo VC - Ufficio Laboratori Polo di Vercelli;Polo di Vercelli
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;15121;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Alessandria;Polo di Alessandria
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Scuola di Medicina e Scuole di Spec.;Polo di Novara
2023;C 4;Pers. Tecnico Amm.vo - Pos.Econ. C4;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;EP1;Pers. Tecnico Amm.vo - Pos.Econ. EP1;15121;Direzione Generale - Divisione Didattica - Settore Centri per la Didattica e Amministrazione;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Gestione Giuridica del Personale - Ufficio Concorsi;Amministrazione Centrale
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;15121;Direzione Generale - Rettorato - Staff del Rettore e Comunicazione - Ufficio Comunicazione e Attività Istituzionali;Amministrazione Centrale
2023;D 2;Pers. Tecnico Amm.vo - Pos.Econ. D2;15121;Direzione Generale - Divisione Didattica - Settore Centri per la Didattica e Amministrazione - Ufficio Amministrazione e Supporto Giuridico;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Scuola di Medicina e Scuole di Spec.;Polo di Novara
2023;C 2;Pers. Tecnico Amm.vo - Pos.Econ. C2;13100;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Amministrazione e Appalti - Ufficio Appalti;Amministrazione Centrale
2023;C 5;Pers. Tecnico Amm.vo - Pos.Econ. C5;15121;Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo AL;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;15121;Direzione Generale - Divisione Didattica - Settore Sistema Bibliotecario di Ateneo - Biblioteca Polo di Alessandria;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO;Polo di Novara
2023;C 3;Pers. Tecnico Amm.vo - Pos.Econ. C3;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;C 3;Pers. Tecnico Amm.vo - Pos.Econ. C3;13100;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo VC;Polo di Vercelli
2023;C 1;Pers. Tecnico Amm.vo Pos.Econ. C1 (tempo det. INPDAP);28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca Polo di Novara;Polo di Novara
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Novara;Polo di Novara
2023;EP1;Pers. Tecnico Amm.vo - Pos.Econ. EP1;13100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Sviluppo, Val. e Form. Ricerca;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;D 3;Pers. Tecnico Amm.vo - Pos.Econ. D3;13100;Direzione Generale - Divisione Didattica - Staff Sviluppo e Qualità dei Progetti A.F. e M.I.;Amministrazione Centrale
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;15121;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Alessandria;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Contabilità Generale e Gestione Fiscale;Amministrazione Centrale
2023;B 4;Pers. Tecnico Amm.vo - Pos.Econ. B4;15121;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo AL;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Didattica - Staff Sviluppo e Coord. Carriere e Servizi Student;Amministrazione Centrale
2023;D 5;Pers. Tecnico Amm.vo - Pos.Econ. D5;13100;Direzione Generale - Divisione DPNRR - Coordinamento Centro di Servizi Polo di Vercelli;Polo di Vercelli
2023;C 3;Pers. Tecnico Amm.vo - Pos.Econ. C3;15121;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Alessandria;Polo di Alessandria
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;13100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Sviluppo, Val. e Form. Ricerca - Ufficio Dottorati;Amministrazione Centrale
2023;D 2;Pers. Tecnico Amm.vo - Pos.Econ. D2;15121;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Laboratori Polo di Alessandria;Polo di Alessandria
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;15121;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo AL;Polo di Alessandria
2023;0;Tecnologo a tempo determinato art. 24-bis Legge 240/2010;28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO;Polo di Novara
2023;B 5;Pers. Tecnico Amm.vo - Pos.Econ. B5;15121;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Logistica - Ufficio Gestione Spazi e Approvv. Polo AL;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Rettorato - Staff del Rettore e Comunicazione - Ufficio Comunicazione e Attività Istituzionali;Amministrazione Centrale
2023;C 1;Pers. Tecnico Amm.vo - Pos.Econ. C1;28100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Novara;Polo di Novara
2023;C 6;Pers. Tecnico Amm.vo - Pos.Econ. C6;28100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Gestione Risorse Polo di Novara;Polo di Novara
2023;D 3;Pers. Tecnico Amm.vo - Pos.Econ. D3;15121;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Alessandria;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo. - Ufficio Trattamenti Economici e Pensioni;Amministrazione Centrale
2023;D020;Coll.Ling. eq. Ricercatore DPR 232/11 art.2 - t.defin - cl. 2;13100;DISUM;Polo di Vercelli
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca Polo di Novara;Polo di Novara
2023;0;Tecnologo a tempo determinato art. 24-bis Legge 240/2010;15121;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Ricerca, Infrastrutture e Lab. Polo AL - Ufficio Laboratori Polo di Alessandria;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Edilizia, Logistica e Patrimonio - Settore Amministrazione e Appalti - Ufficio Appalti;Amministrazione Centrale
2023;C 4;Pers. Tecnico Amm.vo - Pos.Econ. C4;13100;Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo di Vercelli;Amministrazione Centrale
2023;C 4;Pers. Tecnico Amm.vo - Pos.Econ. C4;15121;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Alessandria;Polo di Alessandria
2023;C 3;Pers. Tecnico Amm.vo - Pos.Econ. C3;28100;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Novara;Polo di Novara
2023;C 3;Pers. Tecnico Amm.vo - Pos.Econ. C3;15121;Direzione Generale - Divisione Didattica - Settore Didattica e Segreterie - Ufficio Didattica e Segreterie Polo di Alessandria;Polo di Alessandria
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione DPNRR - Settore Unità di Polo Gestione e Assistenza ICT - Ufficio Gestione e Assistenza ICT Polo di Novara;Polo di Novara
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Didattica - Settore Centri per la Didattica e Amministrazione - Ufficio Centri e Innovazione Didattica;Polo di Novara
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Didattica - Staff Sviluppo e Qualità dei Progetti A.F. e M.I.;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Finanza e Contabilità - Ufficio Contabilità Generale e Gestione Fiscale;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione Didattica - Staff Sviluppo e Coord. Carriere e Servizi Student;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;13100;Direzione Generale - Divisione del Personale e Risorse Finanziarie - Settore Politiche per il Personale e Tratt. Econo. - Ufficio Trattamenti Economici e Pensioni;Amministrazione Centrale
2023;D 1;Pers. Tecnico Amm.vo - Pos.Econ. D1;28100;Direzione Generale - Divisione Ricerca e Sviluppo - Settore Centri di Ricerca e Infrastrutture Polo NO;Polo di Novara
